date,currency,rate
1999-02-08,SEK,8.857
1999-02-08,SGD,1.9002
1999-02-08,USD,1.1246
1999-02-08,ZAR,6.6959
1999-02-09,AUD,1.7548
1999-02-09,CAD,1.6944
1999-02-09,CHF,1.5999
1999-02-09,CZK,38.358
1999-02-09,DKK,7.4356
1999-02-09,GBP,0.6911
1999-02-09,HKD,8.7841
1999-02-09,HUF,249.75
1999-02-09,JPY,129.91
1999-02-09,KRW,1332.26
1999-02-09,NOK,8.6505
1999-02-09,NZD,2.0411
1999-02-09,PLN,4.256
1999-02-09,SEK,8.907
1999-02-09,SGD,1.9182
1999-02-09,USD,1.1333
1999-02-09,ZAR,6.899
1999-02-10,AUD,1.7569
1999-02-10,CAD,1.6945
1999-02-10,CHF,1.5963
1999-02-10,CZK,38.135
1999-02-10,DKK,7.4347
1999-02-10,GBP,0.6954
1999-02-10,HKD,8.7883
1999-02-10,HUF,251.05
1999-02-10,JPY,130.73
1999-02-10,KRW,1335.81
1999-02-10,NOK,8.6425
1999-02-10,NZD,2.0549
1999-02-10,PLN,4.2448
1999-02-10,SEK,8.933
1999-02-10,SGD,1.9202
1999-02-10,USD,1.1342
1999-02-10,ZAR,6.9361
1999-02-11,AUD,1.7427
1999-02-11,CAD,1.685
1999-02-11,CHF,1.5966
1999-02-11,CZK,37.94
1999-02-11,DKK,7.4347
1999-02-11,GBP,0.6975
1999-02-11,HKD,8.7701
1999-02-11,HUF,249.64
1999-02-11,JPY,129.35
1999-02-11,KRW,1329.97
1999-02-11,NOK,8.6435
1999-02-11,NZD,2.0481
1999-02-11,PLN,4.252
1999-02-11,SEK,8.919
1999-02-11,SGD,1.9104
1999-02-11,USD,1.1312
1999-02-11,ZAR,6.8575
1999-02-12,AUD,1.7459
1999-02-12,CAD,1.6752
1999-02-12,CHF,1.5992
1999-02-12,CZK,37.86
1999-02-12,DKK,7.4347
1999-02-12,GBP,0.6917
1999-02-12,HKD,8.7163
1999-02-12,HUF,249.32
1999-02-12,JPY,128.92
1999-02-12,KRW,1322.2
1999-02-12,NOK,8.6075
1999-02-12,NZD,2.055
1999-02-12,PLN,4.2302
1999-02-12,SEK,8.9305
1999-02-12,SGD,1.9037
1999-02-12,USD,1.1244
1999-02-12,ZAR,6.856
1999-02-15,AUD,1.7353
1999-02-15,CAD,1.6781
1999-02-15,CHF,1.595
1999-02-15,CZK,38.197
1999-02-15,DKK,7.4348
1999-02-15,GBP,0.6895
1999-02-15,HKD,8.7086
1999-02-15,HUF,249.66
1999-02-15,JPY,129.31
1999-02-15,KRW,1320.91
1999-02-15,NOK,8.593
1999-02-15,NZD,2.0531
1999-02-15,PLN,4.2612
1999-02-15,SEK,8.8815
1999-02-15,SGD,1.8973
1999-02-15,USD,1.1238
1999-02-15,ZAR,6.8819
1999-02-16,AUD,1.7467
1999-02-16,CAD,1.6807
1999-02-16,CHF,1.5975
1999-02-16,CZK,38.23
1999-02-16,DKK,7.4347
1999-02-16,GBP,0.6854
1999-02-16,HKD,8.6603
1999-02-16,HUF,249.56
1999-02-16,JPY,131.82
1999-02-16,KRW,1313.13
1999-02-16,NOK,8.6205
1999-02-16,NZD,2.0854
1999-02-16,PLN,4.2747
1999-02-16,SEK,8.853
1999-02-16,SGD,1.8976
1999-02-16,USD,1.1176
1999-02-16,ZAR,6.9198
1999-02-17,AUD,1.7751
1999-02-17,CAD,1.688
1999-02-17,CHF,1.5973
1999-02-17,CZK,37.97
1999-02-17,DKK,7.4351
1999-02-17,GBP,0.6873
1999-02-17,HKD,8.7223
1999-02-17,HUF,251.09
1999-02-17,JPY,133.48
1999-02-17,KRW,1323.11
1999-02-17,NOK,8.6955
1999-02-17,NZD,2.092
1999-02-17,PLN,4.279
1999-02-17,SEK,8.907
1999-02-17,SGD,1.9117
1999-02-17,USD,1.1253
1999-02-17,ZAR,6.8981
1999-02-18,AUD,1.7687
1999-02-18,CAD,1.676
1999-02-18,CHF,1.5982
1999-02-18,CZK,37.993
1999-02-18,DKK,7.4348
1999-02-18,GBP,0.6871
1999-02-18,HKD,8.702
1999-02-18,HUF,252.06
1999-02-18,JPY,134.4
1999-02-18,KRW,1327.45
1999-02-18,NOK,8.7385
1999-02-18,NZD,2.0842
1999-02-18,PLN,4.284
1999-02-18,SEK,8.9275
1999-02-18,SGD,1.9099
1999-02-18,USD,1.1232
1999-02-18,ZAR,6.9526
1999-02-19,AUD,1.7502
1999-02-19,CAD,1.6616
