date,currency,rate
2025-06-11,TRY,44.8064
2025-06-11,USD,1.1433
2025-06-11,ZAR,20.308
2025-06-10,AUD,1.7529
2025-06-10,BGN,1.9558
2025-06-10,BRL,6.3549
2025-06-10,CAD,1.5647
2025-06-10,CHF,0.9389
2025-06-10,CNY,8.2115
2025-06-10,CZK,24.771
2025-06-10,DKK,7.4596
2025-06-10,GBP,0.8464
2025-06-10,HKD,8.97
2025-06-10,HUF,400.9
2025-06-10,IDR,18589.44
2025-06-10,ILS,3.9973
2025-06-10,INR,97.8069
2025-06-10,ISK,143.8
2025-06-10,JPY,165.23
2025-06-10,KRW,1561.83
2025-06-10,MXN,21.7568
2025-06-10,MYR,4.8408
2025-06-10,NOK,11.5073
2025-06-10,NZD,1.8883
2025-06-10,PHP,63.819
2025-06-10,PLN,4.2533
2025-06-10,RON,5.0353
2025-06-10,SEK,10.946
2025-06-10,SGD,1.4695
2025-06-10,THB,37.304
2025-06-10,TRY,44.8327
2025-06-10,USD,1.1429
2025-06-10,ZAR,20.1984
2025-06-09,AUD,1.7514
2025-06-09,BGN,1.9558
2025-06-09,BRL,6.3404
2025-06-09,CAD,1.5615
2025-06-09,CHF,0.9369
2025-06-09,CNY,8.1943
2025-06-09,CZK,24.793
2025-06-09,DKK,7.4603
2025-06-09,GBP,0.8424
2025-06-09,HKD,8.9547
2025-06-09,HUF,401.7
2025-06-09,IDR,18585.75
2025-06-09,ILS,3.9761
2025-06-09,INR,97.744
2025-06-09,ISK,144
2025-06-09,JPY,164.88
2025-06-09,KRW,1547.7
2025-06-09,MXN,21.7507
2025-06-09,MYR,4.8287
2025-06-09,NOK,11.509
2025-06-09,NZD,1.8874
2025-06-09,PHP,63.688
2025-06-09,PLN,4.27
2025-06-09,RON,5.0405
2025-06-09,SEK,10.97
2025-06-09,SGD,1.4676
2025-06-09,THB,37.316
2025-06-09,TRY,44.7585
2025-06-09,USD,1.141
2025-06-09,ZAR,20.241
